site,Lon,Lat
Andaman and Nicobar,92.6586401,11.7400867
Andhra Pradesh,79.7399875,15.9128998
Arunachal Pradesh,94.7277528,28.2179994
Assam,92.9375739,26.2006043
Bihar,85.517437,25.2049738
Chandigarh,76.7794179,30.7333148
Chhattisgarh,82.1409152,22.0796545
Dadra and Nagar Haveli,73.0169135,20.1808672
Delhi,77.1024902,28.7040592
Goa,74.123996,15.2993265
Gujarat,71.1923805,22.258652
Haryana,76.085601,29.0587757
Himachal Pradesh,77.1733901,31.1048294
Jammu and Kashmir,75.3412179,33.277839
Jharkhand,85.2799354,23.6101808
Karnataka,75.7138884,15.3172775
Kerala,76.2710833,10.8505159
Lakshadweep,72.78463353,10.32802651
Madhya Pradesh,78.6568942,22.9734229
Maharashtra,75.7138884,19.7514798
Manipur,93.9062688,24.6637173
Meghalaya,91.366216,25.4670308
Mizoram,92.9375739,23.164543
Nagaland,94.5624426,26.1584354
Orissa,85.0985236,20.9516658
Puducherry,79.8083133,11.9415915
Punjab,75.3412179,31.1471305
Rajasthan,74.2179326,27.0238036
Sikkim,88.5122178,27.5329718
Tamil Nadu,78.6568942,11.1271225
Telangana,79.0192997,18.1124372
Tripura,91.9881527,23.9408482
Uttar Pradesh,80.9461592,26.8467088
Uttaranchal,79.0192997,30.066753
West Bengal,87.8549755,22.9867569
